invoice_id,invoice_number,vendor_id,invoice_date,po_id,subtotal,gst_rate,gst_amount,total_amount,bank_account,approver_employee_id,payment_status,is_fraud,fraud_type
INV00026,V002/2025/00026,V002,2025-02-02,PO00278,656163.63,28,183725.82,839889.45,100000015838,E006,Paid,0,none
INV00027,V003/2026/00027,V003,2026-04-12,PO00167,236644.36,5,11832.22,248476.58,100000023757,E019,Paid,1,threshold_avoidance
INV00028,V018/2025/00028,V018,2025-06-16,PO00298,391154.32,12,46938.52,438092.84,100000142542,E006,Paid,0,none
INV00029,V006/2025/00029,V006,2025-12-27,,384870.82,5,19243.54,404114.36,100000047514,E002,Paid,0,none
INV00030,V027/2026/00030,V027,2026-03-27,PO00263,112808.25,5,5640.41,118448.66,100000213813,E013,Paid,0,none
INV00031,V010/2025/00031,V010,2025-07-27,,469365.32,5,23468.27,492833.59,100000079190,E011,Paid,0,none
INV00032,V017/2025/00032,V017,2025-09-16,PO00175,61533.2,28,17229.3,78762.5,100000134623,E016,Rejected,0,none
INV00033,V006/2025/00033,V006,2025-03-03,PO00039,188058.35,5,9402.92,197461.27,100000047514,E008,Rejected,0,none
INV00034,V003/2026/00034,V003,2026-05-13,PO00453,386885.16,5,19344.26,406229.42,100000023757,E004,Pending,0,none
INV00035,V026/2025/00035,V026,2025-06-01,PO00019,476582.75,12,57189.93,533772.68,100000205894,E005,Pending,0,none
INV00036,V030/2026/00036,V030,2026-06-07,PO00091,571950.47,5,28597.52,600547.99,100000237570,E018,Paid,0,none
INV00037,V028/2025/00037,V028,2025-03-21,,333411.6,18,60014.09,393425.69,100000221732,E002,Paid,0,none
INV00038,V006/2025/00038,V006,2025-12-01,,329201.82,5,16460.09,345661.91,100000047514,E014,Pending,0,none
INV00039,V020/2025/00039,V020,2025-12-01,PO00112,252539.58,5,12626.98,265166.56,100000158380,E018,Rejected,0,none
INV00040,V029/2025/00040,V029,2025-08-23,PO00325,399835.66,12,47980.28,447815.94,100000229651,E009,Paid,0,none
INV00041,V004/2025/00041,V004,2025-08-15,PO00364,107490.2,18,19348.24,126838.44,100000031676,E011,Rejected,0,none
INV00042,V006/2025/00042,V006,2025-08-21,PO00491,379727.47,5,18986.37,398713.84,100000047514,E004,Paid,0,none
INV00043,V022/2026/00043,V022,2026-02-13,PO00125,264003.17,28,73920.89,337924.06,100000174218,E019,Paid,0,none
INV00044,V006/2025/00044,V006,2025-09-29,,235816.83,5,11790.84,247607.67,100000047514,E001,Paid,0,none
INV00045,V016/2026/00045,V016,2026-05-09,PO00120,271113.28,5,13555.66,284668.94,100000126704,E010,Paid,0,none
INV00046,V013/2025/00046,V013,2025-12-08,,438580.92,12,52629.71,491210.63,100000102947,E015,Paid,0,none
INV00047,V015/2025/00047,V015,2025-06-01,,253485.87,12,30418.3,283904.17,100000118785,E018,Paid,0,none
INV00048,V015/2026/00048,V015,2026-02-23,PO00218,474737.63,12,56968.52,531706.15,100000118785,E015,Pending,0,none
INV00049,V024/2025/00049,V024,2025-06-11,PO00336,268233.95,28,75105.51,343339.46,100000190056,E013,Paid,0,none
INV00050,V011/2025/00050,V011,2025-07-18,,308519.22,28,86385.38,394904.6,100000087109,E015,Paid,0,none
INV00051,V002/2025/00051,V002,2025-09-20,PO00271,203848.74,28,57077.65,260926.39,100000015838,E015,Paid,0,none
INV00052,V014/2025/00052,V014,2025-04-17,PO00418,215133.46,28,60237.37,275370.83,100000110866,E008,Paid,0,none
INV00053,V022/2025/00053,V022,2025-10-29,PO00197,214826.46,28,60151.41,274977.87,100000174218,E006,Pending,0,none
INV00054,V004/2025/00054,V004,2025-06-05,,80169.58,18,14430.52,94600.1,100000031676,E008,Paid,0,none
INV00055,V006/2026/00055,V006,2026-03-24,PO00482,374043.3,5,18702.16,392745.46,100000047514,E015,Paid,0,none
INV00056,V006/2025/00056,V006,2025-05-27,PO00254,221705.18,5,11085.26,232790.44,100000047514,E008,Paid,0,none
INV00057,V025/2025/00057,V025,2025-03-21,,235794.45,12,28295.33,264089.78,100000197975,E015,Paid,0,none
INV00058,V003/2026/00058,V003,2026-03-13,,152554.58,5,7627.73,160182.31,100000023757,E003,Paid,0,none
INV00059,V011/2025/00059,V011,2025-04-08,PO00429,243905.35,28,68293.5,312198.85,100000087109,E008,Pending,0,none
INV00060,V006/2026/00060,V006,2026-02-07,PO00254,553455.32,5,27672.77,581128.09,100000047514,E019,Paid,0,none
INV00061,V001/2026/00061,V001,2026-01-11,PO00153,33496.56,12,4019.59,37516.15,100000007919,E009,Pending,0,none
INV00062,V010/2026/00062,V010,2026-05-13,PO00392,670926.26,5,33546.31,704472.57,100000079190,E002,Pending,0,none
INV00063,V019/2025/00063,V019,2025-09-10,,398645.67,28,111620.79,510266.46,100000150461,E020,Paid,0,none
INV00064,V019/2025/00064,V019,2025-09-04,PO00109,658193.43,28,184294.16,842487.59,100000150461,E008,Rejected,0,none
INV00065,V015/2025/00065,V015,2025-09-21,PO00297,316567.31,12,37988.08,354555.39,100000118785,E010,Pending,0,none
INV00066,V013/2025/00066,V013,2025-02-28,,283221.84,12,33986.62,317208.46,100000102947,E020,Paid,0,none
INV00067,V024/2025/00067,V024,2025-12-24,PO00201,216044.15,28,60492.36,276536.51,100000190056,E020,Paid,0,none
INV00068,V027/2025/00068,V027,2025-05-24,,318901.43,5,15945.07,334846.5,100000213813,E015,Paid,0,none
INV00069,V008/2025/00015A,V030,2025-11-25,PO00060,258098.93,5,12904.95,271003.88,100000237570,E012,Paid,1,near_duplicate
INV00070,V009/2026/00070,V009,2026-05-23,,236509.01,12,28381.08,264890.09,100000071271,E013,Paid,0,none
INV00071,V021/2026/00071,V021,2026-01-31,PO00122,137359.26,28,38460.59,175819.85,100000166299,E004,Paid,0,none
INV00072,V006/2025/00072,V006,2025-03-16,,206696.14,5,10334.81,217030.95,100000047514,E016,Paid,0,none
INV00073,V029/2025/00073,V029,2025-07-03,PO00144,301230.52,12,36147.66,337378.18,100000229651,E006,Paid,0,none
INV00074,V029/2025/00074,V029,2025-05-16,PO00433,263532.69,12,31623.92,295156.61,100000229651,E014,Rejected,0,none
INV00075,V023/2026/00075,V023,2026-03-26,PO00166,57854.75,18,10413.85,68268.6,100000182137,E017,Paid,0,none
INV00076,V007/2025/00076,V007,2025-01-21,PO00114,567880.74,18,102218.53,670099.27,100000055433,E018,Paid,0,none
INV00077,V024/2025/00077,V024,2025-03-17,PO00408,134219.7,28,37581.52,171801.22,100000190056,E002,Paid,0,none
INV00078,V012/2025/00078,V012,2025-04-15,PO00219,95247.66,18,17144.58,112392.24,100000095028,E004,Pending,0,none
INV00079,V016/2026/00079,V016,2026-01-31,PO00199,272767.42,5,13638.37,286405.79,100000126704,E013,Pending,0,none
INV00080,V021/2026/00080,V021,2026-05-09,PO00425,179760.65,28,50332.98,230093.63,100000166299,E005,Paid,0,none
INV00081,V030/2025/00081,V030,2025-08-10,PO00324,229878.15,5,11493.91,241372.06,100000237570,E002,Paid,0,none
INV00082,V015/2025/00082,V015,2025-06-04,,304171.26,12,36500.55,340671.81,100000118785,E005,Paid,0,none
INV00083,V020/2025/00083,V020,2025-11-18,PO00233,154145.64,5,7707.28,161852.92,100000158380,E006,Pending,0,none
INV00084,V009/2025/00084,V009,2025-08-04,,745374.12,12,89444.89,834819.01,100000071271,E011,Paid,0,none
INV00085,V008/2025/00085,V008,2025-02-15,,371810.6,28,104106.97,475917.57,100000063352,E001,Paid,0,none
INV00086,V005/2026/00086,V005,2026-05-06,,179380.61,18,32288.51,211669.12,100000039595,E008,Pending,0,none
INV00087,V016/2026/00087,V016,2026-04-05,PO00326,155924.69,5,7796.23,163720.92,100000126704,E002,Paid,0,none
INV00088,V027/2025/00088,V027,2025-03-10,,218461.2,5,10923.06,229384.26,100000213813,E013,Paid,0,none
INV00089,V030/2025/00089,V030,2025-01-31,PO00338,352074.57,5,17603.73,369678.3,100000237570,E009,Pending,0,none
INV00090,V027/2026/00090,V027,2026-02-05,PO00283,168381.62,5,8419.08,176800.7,100000213813,E004,Paid,0,none
INV00091,V010/2025/00091,V010,2025-12-26,PO00306,638287.46,5,31914.37,670201.83,100000079190,E011,Pending,0,none
INV00092,V016/2026/00092,V016,2026-05-04,PO00164,373097.07,5,18654.85,391751.92,100000126704,E020,Paid,0,none
INV00093,V008/2026/00093,V008,2026-03-03,,419077.32,28,117341.65,536418.97,100000063352,E011,Paid,0,none
INV00094,V006/2026/00094,V006,2026-05-07,PO00465,634276.0,5,31713.8,665989.8,100000047514,E017,Paid,0,none
INV00095,V020/2025/00095,V020,2025-02-08,PO00499,122624.42,5,6131.22,128755.64,100000158380,E010,Paid,0,none
INV00096,V030/2025/00096,V030,2025-06-01,PO00256,296079.65,5,14803.98,310883.63,100000237570,E002,Paid,0,none
INV00097,V015/2026/00097,V015,2026-02-22,PO00391,262342.8,12,31481.14,293823.94,100000118785,E018,Pending,0,none
INV00098,V010/2025/00098,V010,2025-12-19,PO00094,328765.63,5,16438.28,345203.91,100000079190,E006,Paid,0,none
INV00099,V028/2025/00099,V028,2025-06-21,PO00001,401894.79,18,72341.06,474235.85,100000221732,E015,Paid,0,none
INV00100,V017/2026/00100,V017,2026-04-08,PO00369,74998.04,28,20999.45,95997.49,100000134623,E017,Pending,0,none
INV00101,V027/2025/00101,V027,2025-07-12,,187390.93,5,9369.55,196760.48,100000213813,E002,Pending,0,none
INV00102,V023/2026/00102,V023,2026-04-19,PO00307,36983.29,18,6656.99,43640.28,100000182137,E015,Paid,0,none
INV00103,V024/2026/00103,V024,2026-03-02,,254186.78,28,71172.3,325359.08,100000190056,E005,Pending,0,none
INV00104,V007/2025/00104,V007,2025-12-07,PO00054,165946.22,18,29870.32,195816.54,100000055433,E003,Pending,0,none
INV00105,V004/2025/00105,V004,2025-02-02,,94227.03,18,16960.87,111187.9,100000031676,E009,Paid,0,none
INV00106,V020/2025/00106,V020,2025-07-07,PO00078,195810.46,5,9790.52,205600.98,100000158380,E002,Paid,0,none
INV00107,V006/2025/00107,V006,2025-12-29,PO00319,228629.3,5,11431.46,240060.76,100000047514,E019,Paid,0,none
INV00108,V028/2025/00108,V028,2025-02-18,PO00409,160300.94,18,28854.17,189155.11,100000221732,E003,Paid,0,none
INV00109,V003/2025/00109,V003,2025-01-17,PO00064,165977.89,5,8298.89,174276.78,100000023757,E002,Pending,0,none
INV00110,V004/2025/00110,V004,2025-12-04,PO00500,63763.42,18,11477.42,75240.84,100000031676,E001,Pending,0,none
INV00111,V029/2025/00111,V029,2025-08-10,PO00273,392004.52,12,47040.54,439045.06,100000229651,E015,Rejected,0,none
INV00112,V014/2026/00112,V014,2026-03-03,PO00255,224736.08,28,62926.1,287662.18,100000110866,E009,Paid,0,none
INV00113,V024/2026/00113,V024,2026-01-04,,1927296.59,28,539643.05,2466939.64,100000190056,E017,Pending,1,threshold_avoidance
INV00114,V010/2025/00114,V010,2025-06-14,PO00016,579375.0,5,28968.75,608343.75,100000079190,E005,Paid,0,none
INV00115,V004/2026/00115,V004,2026-06-11,PO00178,96708.53,18,17407.53,114116.06,100000031676,E006,Paid,0,none
INV00116,V018/2025/00116,V018,2025-11-23,PO00182,311450.83,12,37374.1,348824.93,100000142542,E009,Rejected,0,none
INV00117,V019/2025/00117,V019,2025-10-27,PO00435,298871.2,28,83683.94,382555.14,100000150461,E014,Paid,0,none
INV00118,V021/2025/00118,V021,2025-02-16,PO00117,138955.23,28,38907.46,177862.69,100000166299,E009,Pending,0,none
INV00119,V024/2026/00119,V024,2026-03-29,PO00436,202110.22,28,56590.86,258701.08,100000190056,E005,Pending,0,none
INV00120,V025/2025/00120,V025,2025-09-25,,513464.92,12,61615.79,575080.71,100000197975,E011,Paid,0,none
INV00121,V029/2025/00121,V029,2025-12-10,PO00174,474840.66,12,56980.88,531821.54,100000229651,E011,Pending,0,none
INV00122,V019/2025/00122,V019,2025-09-15,PO00109,306685.05,28,85871.81,392556.86,100000150461,E014,Paid,0,none
INV00123,V030/2025/00123,V030,2025-10-02,PO00021,420191.24,18,75634.42,495825.66,100000237570,E020,Paid,1,gst_mismatch
INV00124,V014/2025/00124,V014,2025-01-01,PO00024,237887.75,28,66608.57,304496.32,100000110866,E012,Paid,0,none
INV00125,V022/2025/00125,V022,2025-04-26,,339679.83,28,95110.35,434790.18,100000174218,E001,Paid,0,none
INV00126,V018/2025/00126,V018,2025-12-02,PO00315,521574.2,12,62588.9,584163.1,100000142542,E009,Pending,0,none
INV00127,V009/2025/00127,V009,2025-03-23,PO00085,317622.3,12,38114.68,355736.98,100000071271,E016,Paid,0,none
INV00128,V007/2026/00128,V007,2026-03-31,PO00412,189058.84,18,34030.59,223089.43,100000055433,E010,Paid,0,none
INV00129,V011/2025/00129,V011,2025-12-31,,223439.93,28,62563.18,286003.11,100000087109,E006,Paid,0,none
INV00130,V008/2025/00130,V008,2025-10-09,,333885.96,28,93488.07,427374.03,100000063352,E003,Pending,0,none
INV00131,V010/2025/00131,V010,2025-07-22,PO00094,311554.89,5,15577.74,327132.63,100000079190,E005,Paid,0,none
INV00132,V016/2026/00132,V016,2026-06-12,,175860.52,5,8793.03,184653.55,100000126704,E005,Paid,0,none
INV00133,V029/2025/00133,V029,2025-01-21,PO00342,329070.05,12,39488.41,368558.46,100000229651,E006,Paid,0,none
INV00134,V010/2025/00134,V010,2025-12-07,PO00002,387185.28,5,19359.26,406544.54,100000079190,E012,Pending,0,none
INV00135,V013/2025/00135,V013,2025-10-10,,538972.25,12,64676.67,603648.92,100000102947,E007,Paid,0,none
INV00136,V004/2026/00019,V004,2025-05-02,PO00232,71311.24,18,12836.02,84147.26,100000031676,E002,Paid,1,duplicate
INV00137,V030/2025/00137,V030,2025-03-01,PO00238,409982.86,28,114795.2,524778.06,100000237570,E007,Rejected,1,gst_mismatch
INV00138,V006/2025/00138,V006,2025-01-30,PO00319,215912.72,5,10795.64,226708.36,100000047514,E001,Paid,0,none
INV00139,V028/2025/00099A,V004,2025-10-05,PO00232,401894.79,18,72341.06,474235.85,100000031676,E004,Pending,1,near_duplicate
INV00140,V019/2026/00140,V019,2026-03-06,PO00168,478892.83,28,134089.99,612982.82,100000150461,E010,Paid,0,none
INV00141,V018/2025/00141,V018,2025-06-30,PO00298,485142.13,12,58217.06,543359.19,100000142542,E019,Paid,0,none
INV00142,V017/2026/00142,V017,2026-01-23,,45270.36,28,12675.7,57946.06,100000134623,E003,Paid,0,none
INV00143,V017/2026/00143,V017,2026-05-08,PO00316,612520.23,28,171505.67,784025.9,100000134623,E007,Rejected,1,amount_anomaly
INV00144,V015/2026/00144,V015,2026-01-16,PO00391,294345.85,12,35321.5,329667.35,100000118785,E010,Paid,0,none
INV00145,V008/2025/00145,V008,2025-12-04,PO00030,1249671.52,28,349908.03,1599579.55,100000063352,E013,Pending,1,amount_anomaly
INV00146,V024/2025/00146,V024,2025-11-19,PO00334,111295.59,28,31162.77,142458.36,100000190056,E013,Pending,0,none
INV00147,V018/2025/00147,V018,2025-03-28,,381649.56,12,45797.95,427447.51,100000142542,E010,Pending,0,none
INV00148,V013/2025/00148,V013,2025-04-18,PO00288,489340.28,12,58720.83,548061.11,100000102947,E009,Paid,0,none
INV00149,V016/2025/00149,V016,2025-09-30,,251613.07,5,12580.65,264193.72,100000126704,E020,Paid,0,none
INV00150,V001/2026/00150,V001,2026-06-04,PO00441,80559.27,12,9667.11,90226.38,100000007919,E005,Paid,0,none
INV00151,V002/2026/00151,V002,2026-05-17,PO00271,270767.05,28,75814.77,346581.82,100000015838,E013,Paid,0,none
INV00152,V019/2026/00152,V019,2026-01-31,PO00435,295068.92,28,82619.3,377688.22,100000150461,E014,Pending,0,none
INV00153,V016/2026/00153,V016,2026-01-22,,157431.63,5,7871.58,165303.21,100000126704,E010,Paid,0,none
INV00154,V016/2025/00154,V016,2025-07-17,PO00100,308795.54,5,15439.78,324235.32,100000126704,E001,Paid,0,none
INV00155,V018/2025/00155,V018,2025-10-06,,278511.05,12,33421.33,311932.38,100000142542,E019,Pending,0,none
INV00156,V023/2026/00156,V023,2026-04-01,PO00382,45177.14,18,8131.89,53309.03,100000182137,E004,Paid,0,none
INV00157,V004/2025/00157,V004,2025-02-20,PO00352,205507.65,18,36991.38,242499.03,100000031676,E006,Paid,1,amount_anomaly
INV00158,V021/2025/00158,V021,2025-07-01,PO00122,76285.41,28,21359.92,97645.33,100000166299,E018,Paid,0,none
INV00159,V005/2025/00159,V005,2025-10-01,PO00133,96005.4,18,17280.97,113286.37,100000039595,E006,Paid,0,none
INV00160,V014/2025/00052,V011,2025-08-27,PO00427,215133.46,28,60237.37,275370.83,100000087109,E001,Paid,1,duplicate
INV00161,V011/2026/00161,V011,2026-01-04,PO00486,238906.99,28,66893.96,305800.95,100000087109,E018,Pending,0,none
INV00162,V015/2025/00162,V015,2025-01-26,PO00212,308797.21,12,37055.67,345852.88,100000118785,E003,Paid,0,none
INV00163,V021/2025/00163,V021,2025-10-17,PO00177,92950.15,28,26026.04,118976.19,100000166299,E009,Pending,0,none
INV00164,V016/2025/00164,V016,2025-07-19,PO00199,2306405.47,5,115320.27,2421725.74,100000126704,E007,Rejected,1,threshold_avoidance
INV00165,V011/2025/00165,V011,2025-06-23,PO00331,215881.52,28,60446.83,276328.35,100000087109,E010,Pending,0,none
INV00166,V012/2025/00166,V012,2025-11-14,PO00341,100933.18,18,18167.97,119101.15,100000095028,E005,Pending,0,none
INV00167,V026/2026/00167,V026,2026-01-30,,218983.94,12,26278.07,245262.01,100000205894,E009,Rejected,1,threshold_avoidance
INV00168,V004/2026/00168,V004,2026-02-13,,75504.2,18,13590.76,89094.96,100000031676,E005,Paid,0,none
INV00169,V009/2026/00169,V009,2026-06-10,PO00157,229457.49,12,27534.9,256992.39,100000071271,E019,Pending,0,none
INV00170,V030/2025/00170,V030,2025-03-20,,503833.76,5,25191.69,529025.45,100000237570,E011,Rejected,1,missing_po
INV00171,V004/2025/00171,V004,2025-10-02,,42283.41,18,7611.01,49894.42,100000031676,E017,Pending,0,none
INV00172,V010/2025/00172,V010,2025-03-12,PO00309,448184.34,5,22409.22,470593.56,100018092578,E001,Pending,1,bank_account_change
INV00173,V017/2025/00173,V017,2025-01-05,,69118.22,28,19353.1,88471.32,100000134623,E009,Paid,0,none
INV00174,V028/2025/00174,V028,2025-09-27,PO00339,163944.35,18,29509.98,193454.33,100000221732,E018,Paid,0,none
INV00175,V013/2026/00175,V013,2026-04-07,,335191.2,12,40222.94,375414.14,100000102947,E018,Paid,0,none
INV00176,V012/2025/00176,V012,2025-06-11,PO00498,97221.84,18,17499.93,114721.77,100000095028,E015,Paid,0,none
INV00177,V022/2025/00177,V022,2025-09-05,PO00244,252657.44,28,70744.08,323401.52,100000174218,E014,Paid,0,none
INV00178,V006/2025/00178,V006,2025-07-06,PO00399,537972.14,5,26898.61,564870.75,100000047514,E009,Paid,0,none
INV00179,V004/2025/00179,V004,2025-01-30,,78355.61,18,14104.01,92459.62,100000031676,E018,Paid,0,none
INV00180,V018/2025/00180,V018,2025-01-21,PO00012,291006.55,12,34920.79,325927.34,100000142542,E015,Paid,0,none
INV00181,V021/2025/00181,V021,2025-07-04,,126912.16,28,35535.4,162447.56,100000166299,E015,Rejected,0,none
INV00182,V004/2026/00182,V004,2026-01-16,,44901.5,18,8082.27,52983.77,100000031676,E004,Paid,0,none
INV00183,V016/2025/00183,V016,2025-03-01,PO00471,214470.42,5,10723.52,225193.94,100000126704,E004,Paid,0,none
INV00184,V016/2025/00184,V016,2025-01-08,PO00062,2294735.07,5,114736.75,2409471.82,100000126704,E007,Pending,1,threshold_avoidance
INV00185,V023/2025/00185,V023,2025-06-29,PO00196,58405.56,18,10513.0,68918.56,100000182137,E005,Paid,0,none
INV00186,V012/2026/00012,V009,2025-07-26,PO00043,53021.42,18,9543.86,62565.28,100000071271,E009,Rejected,1,duplicate
INV00187,V019/2025/00187,V019,2025-05-01,,457361.33,28,128061.17,585422.5,100000150461,E001,Paid,0,none
INV00188,V007/2025/00188,V007,2025-09-27,PO00437,317904.82,18,57222.87,375127.69,100000055433,E001,Paid,0,none
INV00189,V003/2026/00189,V003,2026-01-28,PO00165,241578.86,5,12078.94,253657.8,100000023757,E016,Pending,0,none
INV00190,V017/2026/00100,V026,2026-03-08,,74998.04,28,20999.45,95997.49,100000205894,E015,Paid,1,duplicate
INV00191,V028/2025/00191,V028,2025-08-27,,380971.0,18,68574.78,449545.78,100000221732,E020,Paid,1,missing_po
INV00192,V006/2025/00107,V024,2026-03-04,,228629.3,5,11431.47,240060.77,100000190056,E015,Paid,1,duplicate
INV00193,V023/2026/00193,V023,2026-06-08,PO00307,68125.89,18,12262.66,80388.55,100000182137,E006,Paid,0,none
INV00194,V013/2025/00194,V013,2025-07-30,,361877.93,12,43425.35,405303.28,100000102947,E020,Pending,0,none
INV00195,V026/2026/00195,V026,2026-05-06,PO00214,468723.95,12,56246.87,524970.82,100000205894,E018,Paid,0,none
INV00196,V013/2025/00196,V013,2025-05-18,PO00357,392377.33,12,47085.28,439462.61,100000102947,E010,Paid,0,none
INV00197,V019/2025/00197,V019,2025-10-22,PO00231,628904.01,28,176093.12,804997.13,100000150461,E012,Rejected,0,none
INV00198,V013/2026/00198,V013,2026-02-24,,443838.79,12,53260.65,497099.44,100000102947,E001,Pending,0,none
INV00199,V028/2025/00199,V028,2025-10-26,PO00073,292342.56,18,52621.66,344964.22,100000221732,E011,Rejected,0,none
INV00200,V006/2026/00200,V006,2026-05-13,PO00399,708709.6,5,35435.48,744145.08,100000047514,E004,Paid,0,none
INV00201,V008/2025/00201,V008,2025-06-30,PO00313,507699.0,28,142155.72,649854.72,100000063352,E002,Paid,0,none
INV00202,V018/2025/00202,V018,2025-05-19,PO00182,577099.55,12,69251.95,646351.5,100000142542,E006,Paid,0,none
INV00203,V008/2025/00203,V008,2025-05-19,PO00102,410951.74,28,115066.49,526018.23,100000063352,E018,Rejected,0,none
INV00204,V006/2025/00204,V006,2025-08-25,PO00482,229181.1,5,11459.06,240640.16,100000047514,E010,Paid,0,none
INV00205,V011/2025/00165A,V023,2025-06-18,,215881.52,18,38858.67,254740.19,100000182137,E010,Paid,1,near_duplicate
INV00206,V027/2025/00206,V027,2025-03-03,,108777.59,5,5438.88,114216.47,100000213813,E018,Rejected,0,none
INV00207,V010/2026/00207,V010,2026-01-01,PO00016,381675.9,5,19083.8,400759.7,100000079190,E008,Pending,0,none
INV00208,V018/2025/00202,V014,2025-05-16,PO00026,577099.55,12,69251.95,646351.5,100000110866,E018,Paid,1,duplicate
INV00209,V004/2025/00209,V004,2025-02-24,PO00066,71452.68,18,12861.48,84314.16,100000031676,E014,Pending,0,none
INV00210,V011/2026/00210,V011,2026-02-05,PO00486,264265.48,28,73994.33,338259.81,100000087109,E018,Paid,0,none
INV00211,V029/2026/00211,V029,2026-04-11,PO00123,366973.41,12,44036.81,411010.22,100000229651,E008,Pending,0,none
INV00212,V017/2025/00212,V017,2025-05-17,PO00175,73056.48,28,20455.81,93512.29,100000134623,E011,Paid,0,none
INV00213,V010/2025/00213,V010,2025-06-26,PO00094,318863.7,5,15943.19,334806.89,100000079190,E013,Pending,0,none
INV00214,V012/2025/00214,V012,2025-07-22,,138046.73,18,24848.41,162895.14,100000095028,E001,Paid,0,none
INV00215,V004/2026/00215,V004,2026-05-03,PO00222,81514.44,18,14672.6,96187.04,100000031676,E019,Pending,0,none
INV00216,V024/2026/00216,V024,2026-06-12,PO00132,371997.82,28,104159.39,476157.21,100000190056,E011,Rejected,0,none
INV00217,V001/2026/00217,V001,2026-01-12,PO00388,65119.9,12,7814.39,72934.29,100000007919,E003,Paid,0,none
INV00218,V023/2025/00218,V023,2025-12-03,PO00115,43759.68,18,7876.74,51636.42,100000182137,E012,Paid,0,none
INV00219,V016/2025/00219,V016,2025-01-25,PO00048,251930.23,5,12596.51,264526.74,100000126704,E018,Paid,0,none
INV00220,V002/2025/00220,V002,2025-12-13,PO00294,398080.65,28,111462.58,509543.23,100000015838,E016,Pending,0,none
INV00221,V022/2025/00221,V022,2025-06-15,,248253.0,28,69510.84,317763.84,100000174218,E015,Paid,0,none
INV00222,V007/2025/00222,V007,2025-04-17,,336568.98,18,60582.42,397151.4,100000055433,E002,Paid,0,none
INV00223,V018/2025/00223,V018,2025-04-25,PO00095,530752.79,12,63690.33,594443.12,100000142542,E013,Paid,0,none
INV00224,V010/2025/00224,V010,2025-01-24,PO00094,415841.36,5,20792.07,436633.43,100000079190,E013,Pending,0,none
INV00225,V010/2025/00225,V010,2025-04-23,PO00419,184197.18,5,9209.86,193407.04,100000079190,E016,Paid,0,none
